2020-02-21 20:39:45,448 |    pack.madgraph.run |   INFO | b'INFO: Process b g > xd xd~ b added to mirror process g b > xd xd~ b'
2020-02-21 20:39:45,452 |    pack.madgraph.run |   INFO | b'INFO: Process b d~ > xd xd~ g added to mirror process d~ b > xd xd~ g'
2020-02-21 20:39:45,456 |    pack.madgraph.run |   INFO | b'INFO: Crossed process found for b b~ > xd xd~ g, reuse diagrams.'
2020-02-21 20:39:45,457 |    pack.madgraph.run |   INFO | b'INFO: Process b~ g > xd xd~ d~ added to mirror process g b~ > xd xd~ d~'
2020-02-21 20:39:45,458 |    pack.madgraph.run |   INFO | b'INFO: Process b~ g > xd xd~ b~ added to mirror process g b~ > xd xd~ b~'
2020-02-21 20:39:45,460 |    pack.madgraph.run |   INFO | b'INFO: Process b~ d > xd xd~ g added to mirror process d b~ > xd xd~ g'
2020-02-21 20:39:45,464 |    pack.madgraph.run |   INFO | b'INFO: Process b~ b > xd xd~ g added to mirror process b b~ > xd xd~ g'
2020-02-21 20:39:45,477 |    pack.madgraph.run |   INFO | b'21 processes with 42 diagrams generated in 0.246 s'
2020-02-21 20:39:45,478 |    pack.madgraph.run |   INFO | b'Total: 21 processes with 42 diagrams'
2020-02-21 20:39:45,478 |    pack.madgraph.run |   INFO | b'output output'
2020-02-21 20:39:45,479 |    pack.madgraph.run |   INFO | b'INFO: initialize a new directory: output'
2020-02-21 20:39:45,555 |    pack.madgraph.run |   INFO | b'INFO: remove old information in output'
2020-02-21 20:39:45,612 |    pack.madgraph.run |   INFO | b'INFO: Organizing processes into subprocess groups'
2020-02-21 20:39:45,614 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g u > xd xd~ u DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,620 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: g u > xd xd~ u DMV<=2 @1'
2020-02-21 20:39:45,621 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g c > xd xd~ c DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,626 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g c > xd xd~ c DMV<=2 @1'
2020-02-21 20:39:45,627 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g d > xd xd~ d DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,632 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g d > xd xd~ d DMV<=2 @1'
2020-02-21 20:39:45,633 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g d > xd xd~ b DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,638 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g d > xd xd~ b DMV<=2 @1'
2020-02-21 20:39:45,639 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g s > xd xd~ s DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,644 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g s > xd xd~ s DMV<=2 @1'
2020-02-21 20:39:45,645 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g u~ > xd xd~ u~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,651 |    pack.madgraph.run |   INFO | b'INFO: Processing color information for process: g u~ > xd xd~ u~ DMV<=2 @1'
2020-02-21 20:39:45,652 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g c~ > xd xd~ c~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,657 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g c~ > xd xd~ c~ DMV<=2 @1'
2020-02-21 20:39:45,658 |    pack.madgraph.run |   INFO | b'INFO: Generating Helas calls for process: g d~ > xd xd~ d~ DMV<=2 WEIGHTED<=5 @1'
2020-02-21 20:39:45,663 |    pack.madgraph.run |   INFO | b'INFO: Reusing existing color information for process: g d~ > xd xd~ d~ DMV<=2 @1'
